neighbourhood,median_price
L'Île-Bizard-Sainte-Geneviève,250.0
Pointe-Claire,132.0
Kirkland,125.5
Pierrefonds-Roxboro,125.0
Dorval,124.0
L'Île-Dorval,124.0
Dollard-des-Ormeaux,109.5
Côte-Saint-Luc,107.5
Baie-d'Urfé,104.0
Westmount,100.5
Le Plateau-Mont-Royal,100.0
Unknown,99.0
Le Sud-Ouest,98.0
Ville-Marie,98.0
Rivière-des-Prairies-Pointe-aux-Trembles,95.5
Mont-Royal,92.0
Outremont,91.5
Lachine,90.0
Rosemont-La Petite-Patrie,88.5
Anjou,82.0
Saint-Léonard,81.0
Saint-Laurent,78.0
LaSalle,77.0
Hampstead,76.0
Verdun,75.0
Côte-des-Neiges-Notre-Dame-de-Grâce,74.5
Villeray-Saint-Michel-Parc-Extension,73.0
Ahuntsic-Cartierville,69.0
Montréal-Nord,67.0
Mercier-Hochelaga-Maisonneuve,67.0
Sainte-Anne-de-Bellevue,66.0
Montréal-Ouest,49.0
Beaconsfield,38.0
Montréal-Est,25.0
